mes_id,protesta_masiva,numero_eventos_previos,duracion_horas,numero_participantes,numero_detenidos,periodo_pre90,periodo_90_00,periodo_01_16,actor_laboral,actor_territorial_social,actor_economico,actor_estudiantil,violencia_y
5,0,34,48.0,600.0,15.0,1,0,0,1,0,0,0,0
5,0,34,3.0,600.0,15.0,1,0,0,0,0,0,0,0
5,0,8,48.0,600.0,15.0,1,0,0,1,0,0,0,0
5,0,34,48.0,600.0,15.0,1,0,0,0,0,0,0,0
5,0,34,48.0,600.0,15.0,1,0,0,1,0,0,0,0
5,0,34,48.0,600.0,15.0,1,0,0,1,0,0,0,0
5,0,8,48.0,600.0,15.0,1,0,0,1,0,0,0,0
5,0,34,48.0,600.0,15.0,1,0,0,1,0,0,0,0
5,0,8,72.0,600.0,15.0,1,0,0,1,0,0,0,0
5,0,34,72.0,600.0,15.0,1,0,0,1,0,0,0,0
5,0,34,72.0,600.0,15.0,1,0,0,0,0,0,0,0
5,0,8,96.0,600.0,15.0,1,0,0,1,0,0,0,0
5,0,34,96.0,600.0,15.0,1,0,0,0,0,0,0,0
5,0,8,48.0,600.0,15.0,1,0,0,1,0,0,0,0
5,0,34,120.0,600.0,15.0,1,0,0,0,0,0,0,0
5,0,34,48.0,600.0,15.0,1,0,0,0,0,0,0,0
5,0,8,48.0,600.0,15.0,1,0,0,0,0,1,0,0
5,0,8,48.0,600.0,15.0,1,0,0,1,0,0,0,0
5,0,1,216.0,600.0,15.0,1,0,0,0,0,0,0,0
5,0,34,48.0,600.0,15.0,1,0,0,1,0,0,0,0
5,0,1,48.0,600.0,15.0,1,0,0,0,0,1,0,0
5,0,4,240.0,600.0,15.0,1,0,0,0,0,1,0,0
5,0,34,144.0,600.0,15.0,1,0,0,0,0,0,0,0
5,0,34,48.0,600.0,15.0,1,0,0,1,0,0,0,0
5,0,34,48.0,600.0,15.0,1,0,0,0,0,0,0,0
5,0,34,168.0,600.0,15.0,1,0,0,0,0,0,0,0
5,0,34,192.0,600.0,15.0,1,0,0,1,0,0,0,0
5,0,34,192.0,600.0,15.0,1,0,0,1,0,0,0,0
5,0,8,48.0,600.0,15.0,1,0,0,0,0,1,0,0
5,0,34,168.0,600.0,15.0,1,0,0,0,0,0,0,0
5,0,8,48.0,600.0,15.0,1,0,0,1,0,0,0,0
5,0,34,192.0,600.0,15.0,1,0,0,0,0,0,0,0
5,0,34,216.0,600.0,15.0,1,0,0,0,0,0,0,0
5,0,34,240.0,600.0,15.0,1,0,0,0,0,0,0,0
5,0,8,360.0,600.0,15.0,1,0,0,1,0,0,0,0
5,0,34,312.0,600.0,15.0,1,0,0,0,0,0,0,0
5,0,34,264.0,23.0,23.0,1,0,0,0,0,0,0,0
5,0,34,336.0,600.0,15.0,1,0,0,0,0,0,0,0
5,0,34,288.0,100.0,15.0,1,0,0,0,0,0,0,0
5,0,34,312.0,100.0,15.0,1,0,0,0,0,0,0,0
5,0,34,48.0,600.0,15.0,1,0,0,1,0,0,0,0
5,0,34,336.0,600.0,15.0,1,0,0,0,0,0,0,0
5,0,34,48.0,600.0,15.0,1,0,0,0,0,0,0,1
5,0,34,360.0,80.0,15.0,1,0,0,0,0,0,0,0
5,0,34,48.0,600.0,15.0,1,0,0,0,0,0,0,0
5,0,8,48.0,600.0,15.0,1,0,0,0,0,0,0,0
5,0,34,48.0,600.0,15.0,1,0,0,0,0,0,0,0
5,0,34,144.0,600.0,15.0,1,0,0,1,0,0,0,0
5,0,34,48.0,600.0,15.0,1,0,0,1,0,0,0,0
5,0,34,144.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,216.0,600.0,15.0,1,0,0,0,0,0,0,0
6,0,39,48.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,48.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,240.0,600.0,15.0,1,0,0,0,0,0,0,0
6,0,39,48.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,48.0,600.0,15.0,1,0,0,0,0,0,0,0
6,0,39,48.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,48.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,72.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,48.0,600.0,15.0,1,0,0,0,0,0,0,0
6,0,39,96.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,120.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,48.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,1,48.0,600.0,15.0,1,0,0,0,1,0,0,0
6,0,0,48.0,600.0,15.0,1,0,0,0,0,1,0,0
6,0,39,48.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,168.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,192.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,24.0,600.0,15.0,1,0,0,0,0,0,0,0
6,0,39,48.0,600.0,15.0,1,0,0,0,0,0,1,1
6,0,39,216.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,0,24.0,600.0,15.0,1,0,0,0,1,0,0,0
6,0,39,24.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,240.0,600.0,44.0,1,0,0,1,0,0,0,0
6,0,1,72.0,600.0,15.0,1,0,0,0,1,0,0,0
6,0,1,48.0,600.0,15.0,1,0,0,0,1,0,0,0
6,0,39,24.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,240.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,1,96.0,600.0,15.0,1,0,0,0,1,0,0,0
6,0,39,48.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,48.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,0,48.0,600.0,15.0,1,0,0,0,0,1,0,0
6,0,1,120.0,600.0,15.0,1,0,0,0,1,0,0,0
6,0,0,48.0,600.0,15.0,1,0,0,0,1,0,0,0
6,0,39,72.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,1,144.0,600.0,15.0,1,0,0,0,1,0,0,0
6,0,39,24.0,600.0,15.0,1,0,0,0,0,0,1,1
6,0,39,48.0,107.0,15.0,1,0,0,0,0,0,0,0
6,0,39,96.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,120.0,600.0,15.0,1,0,0,0,0,0,0,0
6,0,39,48.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,48.0,600.0,15.0,1,0,0,0,0,0,0,0
6,0,39,72.0,600.0,15.0,1,0,0,0,0,0,1,1
6,0,39,48.0,46.0,15.0,1,0,0,0,0,0,0,0
6,0,39,168.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,96.0,600.0,15.0,1,0,0,0,0,0,1,1
6,0,39,192.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,1,264.0,600.0,15.0,1,0,0,0,1,0,0,0
6,0,39,96.0,600.0,15.0,1,0,0,0,0,0,0,0
6,0,39,192.0,600.0,15.0,1,0,0,0,0,0,1,1
6,0,39,48.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,120.0,600.0,15.0,1,0,0,0,0,0,0,0
6,0,39,120.0,600.0,15.0,1,0,0,0,0,0,1,1
6,0,1,288.0,600.0,15.0,1,0,0,0,1,0,0,0
6,0,39,216.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,144.0,600.0,15.0,1,0,0,0,0,0,1,1
6,0,39,48.0,600.0,15.0,1,0,0,0,0,0,1,1
6,0,39,240.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,48.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,168.0,14.0,15.0,1,0,0,0,0,0,1,1
6,0,39,264.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,192.0,600.0,15.0,1,0,0,0,0,0,1,1
6,0,39,288.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,48.0,600.0,15.0,1,0,0,0,0,0,0,0
6,0,39,312.0,600.0,15.0,1,0,0,1,0,0,0,0
6,0,39,24.0,600.0,15.0,1,0,0,1,0,0,0,0
